time_stamp,ICAO,lat (deg),lon (deg),altitude (meters),heading,hor_velocity (mps),ver_velocity (mps),latlon valid,altitude valid,heading valid,velocity valid,callsign valid,ident valid,simulated report,vert_vel valid,baro valid,source_uat,squawk,altitude_type,callsign,emitter_type,tslc
54642.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54642.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54642.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,14
54643.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54643.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54643.042,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,15
54644.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54644.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54644.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,16
54645.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54645.034,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54645.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,17
54646.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54646.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54646.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,18
54647.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54647.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54647.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,19
54648.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54648.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54648.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,20
54649.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54649.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54649.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,21
54650.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54650.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54650.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,22
54651.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
